,Date,Hour,SUMS
751,01.02.2016,7,0.395
752,01.02.2016,8,4.088
753,01.02.2016,9,14.044
754,01.02.2016,10,25.408
755,01.02.2016,11,58.684
756,01.02.2016,12,104.282
757,01.02.2016,13,145.371
758,01.02.2016,14,146.877
759,01.02.2016,15,48.017
760,01.02.2016,16,0
761,01.02.2016,17,0
762,01.02.2016,18,0
763,01.02.2016,19,0
764,01.02.2016,20,0
765,01.02.2016,21,0
766,01.02.2016,22,0
767,01.02.2016,23,0
768,02.02.2016,0,0
769,02.02.2016,1,0
770,02.02.2016,2,0
771,02.02.2016,3,0
772,02.02.2016,4,0
773,02.02.2016,5,0
774,02.02.2016,6,0
775,02.02.2016,7,8.006
776,02.02.2016,8,50.93
777,02.02.2016,9,103.951
778,02.02.2016,10,188.686
779,02.02.2016,11,309.493
780,02.02.2016,12,381.419
781,02.02.2016,13,312.863
782,02.02.2016,14,130.945
783,02.02.2016,15,46.985
784,02.02.2016,16,0
785,02.02.2016,17,0
786,02.02.2016,18,0
787,02.02.2016,19,0
788,02.02.2016,20,0
789,02.02.2016,21,0
790,02.02.2016,22,0
791,02.02.2016,23,0
792,03.02.2016,0,0
793,03.02.2016,1,0
794,03.02.2016,2,0
795,03.02.2016,3,0
796,03.02.2016,4,0
797,03.02.2016,5,0
798,03.02.2016,6,0
799,03.02.2016,7,3.103
800,03.02.2016,8,4.436
801,03.02.2016,9,9.546
802,03.02.2016,10,18.342
803,03.02.2016,11,34.433
804,03.02.2016,12,49.354
805,03.02.2016,13,35.229
806,03.02.2016,14,22.378
807,03.02.2016,15,4.838
808,03.02.2016,16,0
809,03.02.2016,17,0
810,03.02.2016,18,0
811,03.02.2016,19,0
812,03.02.2016,20,0
813,03.02.2016,21,0
814,03.02.2016,22,0
815,03.02.2016,23,0
816,04.02.2016,0,0
817,04.02.2016,1,0
818,04.02.2016,2,0
819,04.02.2016,3,0
820,04.02.2016,4,0
821,04.02.2016,5,0
822,04.02.2016,6,0
823,04.02.2016,7,28.778
824,04.02.2016,8,153.462
825,04.02.2016,9,184.944
826,04.02.2016,10,194.159
827,04.02.2016,11,287.345
828,04.02.2016,12,188.32
829,04.02.2016,13,95.604
830,04.02.2016,14,46.465
831,04.02.2016,15,9.103
832,04.02.2016,16,0
833,04.02.2016,17,0
834,04.02.2016,18,0
835,04.02.2016,19,0
836,04.02.2016,20,0
837,04.02.2016,21,0
838,04.02.2016,22,0
839,04.02.2016,23,0
840,05.02.2016,0,0
841,05.02.2016,1,0
842,05.02.2016,2,0
843,05.02.2016,3,0
844,05.02.2016,4,0
845,05.02.2016,5,0
846,05.02.2016,6,0
847,05.02.2016,7,4.659
848,05.02.2016,8,27.347
849,05.02.2016,9,55.984
850,05.02.2016,10,216.485
851,05.02.2016,11,168.341
852,05.02.2016,12,90.214
853,05.02.2016,13,137.629
854,05.02.2016,14,52.665
855,05.02.2016,15,19.548
856,05.02.2016,16,0
857,05.02.2016,17,0
858,05.02.2016,18,0
859,05.02.2016,19,0
860,05.02.2016,20,0
861,05.02.2016,21,0
862,05.02.2016,22,0
863,05.02.2016,23,0
864,06.02.2016,0,0
865,06.02.2016,1,0
